0	0	-99.99	-1.31	-1.31
0	15	-13.05	-1.61	-1.31
0	30	-7.33	-2.56	-1.31
0	45	-4.32	-4.32	-1.31
0	60	-2.56	-7.33	-1.31
0	75	-1.61	-13.05	-1.31
0	90	-1.31	-99.99	-1.31
0	105	-1.61	-13.05	-1.31
0	120	-2.56	-7.33	-1.31
0	135	-4.32	-4.32	-1.31
0	150	-7.33	-2.56	-1.31
0	165	-13.05	-1.61	-1.31
0	180	-99.99	-1.31	-1.31
0	195	-13.05	-1.61	-1.31
0	210	-7.33	-2.56	-1.31
0	225	-4.32	-4.32	-1.31
0	240	-2.56	-7.33	-1.31
0	255	-1.61	-13.05	-1.31
0	270	-1.31	-99.99	-1.31
0	285	-1.61	-13.05	-1.31
0	300	-2.56	-7.33	-1.31
0	315	-4.32	-4.32	-1.31
0	330	-7.33	-2.56	-1.31
0	345	-13.05	-1.61	-1.31
0	360	-99.99	-1.31	-1.31
15	0	-99.99	-1.44	-1.44
15	15	-13.35	-1.85	-1.55
15	30	-7.95	-3.12	-1.88
15	45	-5.47	-5.41	-2.43
15	60	-4.43	-9.14	-3.17
15	75	-4.38	-15.75	-4.07
15	90	-5.11	-99.99	-5.11
15	105	-6.52	-17.89	-6.21
15	120	-8.58	-13.29	-7.31
15	135	-11.33	-11.27	-8.29
15	150	-15.11	-10.28	-9.05
15	165	-21.31	-9.81	-9.51
15	180	-99.99	-9.66	-9.66
15	195	-21.31	-9.81	-9.51
15	210	-15.11	-10.28	-9.05
15	225	-11.33	-11.27	-8.29
15	240	-8.58	-13.29	-7.31
15	255	-6.52	-17.89	-6.21
15	270	-5.11	-99.99	-5.11
15	285	-4.38	-15.75	-4.07
15	300	-4.43	-9.14	-3.17
15	315	-5.47	-5.41	-2.43
15	330	-7.95	-3.12	-1.88
15	345	-13.35	-1.85	-1.55
15	360	-99.99	-1.44	-1.44
30	0	-99.99	2.73	2.73
30	15	-10.25	2.25	2.49
30	30	-5.06	0.77	1.78
30	45	-2.93	-1.86	0.65
30	60	-2.39	-6.1	-0.85
30	75	-3.01	-13.38	-2.63
30	90	-4.62	-99.99	-4.62
30	105	-7.11	-17.48	-6.73
30	120	-10.25	-13.95	-8.71
30	135	-13.48	-12.42	-9.91
30	150	-16.74	-10.9	-9.89
30	165	-22.07	-9.57	-9.33
30	180	-99.99	-9.05	-9.05
30	195	-22.07	-9.57	-9.33
30	210	-16.74	-10.9	-9.89
30	225	-13.48	-12.42	-9.91
30	240	-10.25	-13.95	-8.71
30	255	-7.11	-17.48	-6.73
30	270	-4.62	-99.99	-4.62
30	285	-3.01	-13.38	-2.63
30	300	-2.39	-6.1	-0.85
30	315	-2.93	-1.86	0.65
30	330	-5.06	0.77	1.78
30	345	-10.25	2.25	2.49
30	360	-99.99	2.73	2.73
45	0	-99.99	7.89	7.89
45	15	-8.65	7.36	7.47
45	30	-3.62	5.72	6.2
45	45	-1.75	2.82	4.12
45	60	-1.57	-1.77	1.34
45	75	-2.68	-9.55	-1.87
45	90	-4.98	-99.99	-4.98
45	105	-8.39	-15.25	-7.57
45	120	-11.91	-12.11	-9
45	135	-13.33	-8.76	-7.46
45	150	-14.34	-5	-4.52
45	165	-18.58	-2.57	-2.46
45	180	-99.99	-1.76	-1.76
45	195	-18.58	-2.57	-2.46
