2017-02-14T00:21:29.872858510+10:30 INFO hackrf_task - Starting test task
2017-02-14T00:21:29.873725930+10:30 INFO hackrf_task - Running test
2017-02-14T00:21:29.874305380+10:30 INFO pulse_manager - Starting pulse manager
2017-02-14T00:21:51.849922969+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 11.2424965, gain: 0, timestamp: Timestamp { seconds: 1486993911, nanos: 848049194 } }
2017-02-14T00:21:51.850038648+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 7.3668275, gain: 0, timestamp: Timestamp { seconds: 1486993911, nanos: 848049194 } }
2017-02-14T00:21:51.850093858+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -11.733472, gain: 0, timestamp: Timestamp { seconds: 1486993911, nanos: 848049194 } }
2017-02-14T00:21:52.851294836+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 20.239733, gain: 0, timestamp: Timestamp { seconds: 1486993912, nanos: 850011737 } }
2017-02-14T00:21:52.851362512+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 3.5608718, gain: 0, timestamp: Timestamp { seconds: 1486993912, nanos: 850011737 } }
2017-02-14T00:21:52.851388728+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -9.920854, gain: 0, timestamp: Timestamp { seconds: 1486993912, nanos: 850011737 } }
2017-02-14T00:21:53.853660784+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 24.613256, gain: 0, timestamp: Timestamp { seconds: 1486993913, nanos: 852623114 } }
2017-02-14T00:21:53.853729423+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 0.30665028, gain: 0, timestamp: Timestamp { seconds: 1486993913, nanos: 852623114 } }
2017-02-14T00:21:53.853782546+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -11.646597, gain: 0, timestamp: Timestamp { seconds: 1486993913, nanos: 852623114 } }
2017-02-14T00:21:54.855700851+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 9.659859, gain: 0, timestamp: Timestamp { seconds: 1486993914, nanos: 853823214 } }
2017-02-14T00:21:54.855851808+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 6.0311384, gain: 0, timestamp: Timestamp { seconds: 1486993914, nanos: 853823214 } }
2017-02-14T00:21:54.855889576+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -17.09058, gain: 0, timestamp: Timestamp { seconds: 1486993914, nanos: 853823214 } }
2017-02-14T00:21:55.857781951+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 12.169735, gain: 0, timestamp: Timestamp { seconds: 1486993915, nanos: 855823383 } }
2017-02-14T00:21:55.857921345+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 2.7719223, gain: 0, timestamp: Timestamp { seconds: 1486993915, nanos: 855823383 } }
2017-02-14T00:21:55.857985734+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -14.345051, gain: 0, timestamp: Timestamp { seconds: 1486993915, nanos: 855823383 } }
2017-02-14T00:21:56.861129972+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 17.871073, gain: 0, timestamp: Timestamp { seconds: 1486993916, nanos: 858316662 } }
2017-02-14T00:21:56.861214709+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: -2.4131517, gain: 0, timestamp: Timestamp { seconds: 1486993916, nanos: 858316662 } }
2017-02-14T00:21:56.861240691+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -16.473873, gain: 0, timestamp: Timestamp { seconds: 1486993916, nanos: 858316662 } }
2017-02-14T00:21:57.864179588+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 23.920769, gain: 0, timestamp: Timestamp { seconds: 1486993917, nanos: 861403058 } }
2017-02-14T00:21:57.864357320+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 1.7806705, gain: 0, timestamp: Timestamp { seconds: 1486993917, nanos: 861403058 } }
2017-02-14T00:21:57.864408946+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -16.2127, gain: 0, timestamp: Timestamp { seconds: 1486993917, nanos: 861403058 } }
2017-02-14T00:21:58.866652476+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 27.649855, gain: 0, timestamp: Timestamp { seconds: 1486993918, nanos: 864277265 } }
2017-02-14T00:21:58.866947987+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: -1.1950178, gain: 0, timestamp: Timestamp { seconds: 1486993918, nanos: 864277265 } }
2017-02-14T00:21:58.866981849+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -13.848183, gain: 0, timestamp: Timestamp { seconds: 1486993918, nanos: 864277265 } }
2017-02-14T00:21:59.869418367+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 19.056694, gain: 0, timestamp: Timestamp { seconds: 1486993919, nanos: 866671427 } }
2017-02-14T00:21:59.869585546+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: -3.7140393, gain: 0, timestamp: Timestamp { seconds: 1486993919, nanos: 866671427 } }
2017-02-14T00:21:59.869632683+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -19.347223, gain: 0, timestamp: Timestamp { seconds: 1486993919, nanos: 866671427 } }
2017-02-14T00:22:00.870443612+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 17.184101, gain: 0, timestamp: Timestamp { seconds: 1486993920, nanos: 869440751 } }
2017-02-14T00:22:00.870606248+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 3.9633493, gain: 0, timestamp: Timestamp { seconds: 1486993920, nanos: 869440751 } }
2017-02-14T00:22:00.870667125+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -1.2393751, gain: 0, timestamp: Timestamp { seconds: 1486993920, nanos: 869440751 } }
2017-02-14T00:22:01.875495059+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 7.6643476, gain: 0, timestamp: Timestamp { seconds: 1486993921, nanos: 871116853 } }
2017-02-14T00:22:01.875710821+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 13.328014, gain: 0, timestamp: Timestamp { seconds: 1486993921, nanos: 871116853 } }
2017-02-14T00:22:01.875789563+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -15.232193, gain: 0, timestamp: Timestamp { seconds: 1486993921, nanos: 871116853 } }
2017-02-14T00:22:02.881994019+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 23.42007, gain: 0, timestamp: Timestamp { seconds: 1486993922, nanos: 873504909 } }
2017-02-14T00:22:02.882183159+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: -2.17626, gain: 0, timestamp: Timestamp { seconds: 1486993922, nanos: 873504909 } }
2017-02-14T00:22:02.882256027+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -16.282654, gain: 0, timestamp: Timestamp { seconds: 1486993922, nanos: 873504909 } }
2017-02-14T00:22:03.875951775+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 10.407733, gain: 0, timestamp: Timestamp { seconds: 1486993923, nanos: 874863536 } }
2017-02-14T00:22:03.876010949+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: -2.5974846, gain: 0, timestamp: Timestamp { seconds: 1486993923, nanos: 874863536 } }
2017-02-14T00:22:03.876031704+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -11.649725, gain: 0, timestamp: Timestamp { seconds: 1486993923, nanos: 874863536 } }
2017-02-14T00:22:04.877535754+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 26.933882, gain: 0, timestamp: Timestamp { seconds: 1486993924, nanos: 876435766 } }
2017-02-14T00:22:04.877703192+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 5.9549313, gain: 0, timestamp: Timestamp { seconds: 1486993924, nanos: 876435766 } }
2017-02-14T00:22:04.877815411+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -14.435422, gain: 0, timestamp: Timestamp { seconds: 1486993924, nanos: 876435766 } }
2017-02-14T00:22:05.880230693+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 22.440979, gain: 0, timestamp: Timestamp { seconds: 1486993925, nanos: 877311887 } }
2017-02-14T00:22:05.880425253+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: -14.562091, gain: 0, timestamp: Timestamp { seconds: 1486993925, nanos: 877311887 } }
2017-02-14T00:22:05.880519779+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -11.475873, gain: 0, timestamp: Timestamp { seconds: 1486993925, nanos: 877311887 } }
